类型代码,面对象分类,线对象分类,点对象分类
090210,1004,,3017
090211,1004,,3017
090300,1004,,3017
090400,1004,,3017
090500,1004,,3017
090600,1004,,3017
090601,1004,,3017
090602,1004,,3017
090700,1004,,3017
090701,1004,,3017
090702,1004,,3017
100000,1004,,3017
100100,1004,,3017
100101,1004,,3017
100102,1004,,3017
100103,1004,,3017
100104,1004,,3017
100105,1004,,3017
100200,1004,,3017
100201,1004,,3017
110000,1002,,3017
110100,1002,,3017
110101,1002,,3017
110102,1002,,3017
110103,1002,,3017
110104,1002,,3017
110105,1002,,3017
110106,1002,,3017
110200,1002,,3017
110201,1002,,3017
110202,1002,,3017
110203,1002,,3017
110204,1002,,3017
110205,1002,,3017
110206,1002,,3017
110207,1002,,3017
110208,1002,,3017
110209,1002,,3017
120000,1004,,3017
120100,1004,,3017
120200,1004,,3017
120201,1004,,3017
120202,1004,,3017
120203,1004,,3017
120300,1004,,3017
120301,1004,,3017
120302,1004,,3017
120303,1004,,3017
120304,1004,,3017
130000,1004,,3017
130100,1004,,3017
130101,1004,,3017
130102,1004,,3017
130103,1004,,3017
130104,1004,,3017
130105,1004,,3017
130106,1004,,3017
130107,1004,,3017
130200,1004,,3017
130201,1004,,3017
130202,1004,,3017
130300,1004,,3017
130400,1004,,3017
130401,1004,,3017
130402,1004,,3017
130403,1004,,3017
130404,1004,,3017
130405,1004,,3017
130406,1004,,3017
130407,1004,,3017
130408,1004,,3017
130409,1004,,3017
130500,1004,,3017
130501,1004,,3017
130502,1004,,3017
130503,1004,,3017
130504,1004,,3017
130505,1004,,3017
130506,1004,,3017
130600,1004,,3017
130601,1004,,3017
130602,1004,,3017
130603,1004,,3017
130604,1004,,3017
130605,1004,,3017
130606,1004,,3017
130700,1004,,3017
130701,1004,,3017
130702,1004,,3017
130703,1004,,3017
140000,1004,,3017
140100,1004,,3017
140101,1004,,3017
140102,1004,,3017
140200,1004,,3017
140300,1004,,3017
140400,1004,,3017
140500,1004,,3017
140600,1004,,3017
140700,1004,,3017
140800,1004,,3017
140900,1004,,3017
141000,1004,,3017
141100,1004,,3017
141101,1004,,3017
141102,1004,,3017
141103,1004,,3017
141104,1004,,3017
141105,1004,,3017
141200,1004,,3017
141201,1004,,3017
141202,1004,,3017
141203,1004,,3017
141204,1004,,3017
141205,1004,,3017
141206,1004,,3017
141207,1004,,3017
141300,1004,,3017
141400,1004,,3017
141500,1004,,3017
150000,1004,,3017
150100,1004,,3017
150104,1004,,3017
150101,1004,,3017
150102,1004,,3017
150105,1004,,3017
150106,1004,,3017
150200,1004,,3017
150201,1004,,3017
150202,1004,,3017
150203,1004,,3017
150204,1004,,3017
150205,1004,,3017
150206,1004,,3017
150207,1004,,3017
150208,1004,,3017
150209,1004,,3017
150300,1004,,3017
150301,1004,,3017
150302,1004,,3017
150303,1004,,3017
150304,1004,,3017
150400,1004,,3017
150500,1004,,3017
150600,1004,,3017
150700,1004,,3017
150701,1004,,3017
150702,1004,,3017
150703,1004,,3017
150800,1004,,3017
150900,1006,,3012
150903,1006,,3012
150904,1006,,3012
150905,1006,,3012
150906,1006,,3012
150907,1006,,3012
150908,1006,,3012
150909,1006,,3012
151000,1004,,3017
151100,1004,,3017
160000,1004,,3017
160100,1004,,3017
160101,1004,,3017
160102,1004,,3017
160103,1004,,3017
160104,1004,,3017
160105,1004,,3017
160106,1004,,3017
160107,1004,,3017
160108,1004,,3017
160109,1004,,3017
160110,1004,,3017
160111,1004,,3017
160112,1004,,3017
160113,1004,,3017
160114,1004,,3017
160115,1004,,3017
160117,1004,,3017
160118,1004,,3017
160119,1004,,3017
160120,1004,,3017
160121,1004,,3017
160122,1004,,3017
160123,1004,,3017
160124,1004,,3017
160125,1004,,3017
160126,1004,,3017
160127,1004,,3017
160128,1004,,3017
160129,1004,,3017
160130,1004,,3017
160131,1004,,3017
160132,1004,,3017
160133,1004,,3017
160134,1004,,3017
160135,1004,,3017
160136,1004,,3017
160137,1004,,3017
160138,1004,,3017
160139,1004,,3017
160140,1004,,3017
160141,1004,,3017
160142,1004,,3017
160143,1004,,3017
160144,1004,,3017
160145,1004,,3017
160146,1004,,3017
160147,1004,,3017
160148,1004,,3017
160149,1004,,3017
160150,1004,,3017
160151,1004,,3017
160152,1004,,3017
160200,1004,,3017
160300,,,3011
160301,,,3011
160302,,,3011
160303,,,3011
160304,,,3011
160305,,,3011
160306,,,3011
160307,,,3011
160308,,,3011
